Australien;;;
Nr.;Frage;Antwort;
1;Fluggesellschaft? ;Emirates auf Langstrecke / Qantas auf Inlandsflügen;
2;Besonderheiten Flug?;Bei Emirates nur Economy und Business Class buchbar / Zubringer innerhalb deutschlands nicht möglich / Abflughäfen: München, Hamburg, Düsseldorf, Frankfurt;
3;Beste Reisezeit? ;Nach Australien können Sie das ganze Jahr über reisen. Grundsätzlich sind die Jahreszeiten entgegengesetzt zu unseren, wobei der australische Winter sehr mild ist. Im Süden zwischen Sydney und Adelaide liegen die Temperaturen von September bis April zwischen 25 und 30°C und in den australischen Wintermonaten (Juni bis August) bei 12 bis 20°C. Im Norden zwischen Cairns und Darwin betragen die Temperaturen ganzjährig 25 bis 30°C, von Dezember bis März sorgen tropische Gewitter für Abkühlung. Die zentralen Wüstenregionen um Alice Springs und bis zur Westküste sind ganzjährig trocken und heiß, nur nachts kann es in den Wintermonaten Juni bis August kühl werden;
4;Visum?;E-Visum muss eigenständig beantragt werden bis spätestens 1 Monat vor Abreise;
5;Aktivitätslevel? ;einfach und bequem;
6;Optionale Aktivitäten?;Opernbesuch in Sydney in Eigenregie / muss selbst gebucht werden // Sydney Harber Bridge Walk über CHA anmeldbar bis 6 Wochen vor Abreise ;
7;Eigenanreise?;möglich / alternative Flugverbindungen können jedoch ebenfalls über CHA geprüft werden;
8;Gepäckbestimmungen?;Langstreckenflüge mit Emirates: 30KG in ECO / 40KG in BX // Inlandsflüge mit Qantas: i.d.R. 30KG;
9;Essenspräferenzen / Allergien ?;i.d.R. ohne Probleme umsetzbar;
10;Reiseleitungen ?;drei verschiedene Reiseleitungen // Melbourne inkl. Red Center, die 2. RL in Queensland/Cairns und die 3. in SYD;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;;;
2;;;
3;;;
Armenien;;;
Nr.;Frage;Antwort;
1;Wird ein Visum benötigt?;Für deutsche, österreichische und schweizer Staatsbürger  Staatsbürger wird kein Visum benötigt. (Da sich die Einreisebedingungen jederzeit ändern können, informiere ich dich bitte vor kurz Reiseantritt auf den Seiten der Behörden erneut.);
2;;;
3;;;
4;;;
5;;;
6;;;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen (AMKAU):;Reisenspezifische Antworten;
1;Gibt es eine optionale Aktivität?;Ja, es besteht die Möglichkeit sich vorab für den vorletzten Tag der Reise für den kulinarischen Rundgang durch Jerewan anzumelden. Die Mindestteilnehmerzahl liegt bei 4 Personen und wir können bis kurz vor Abreise die Anfrage entgegennehmen.;
2;Wie werden die Grenzübergänge erfolgen?;Die beiden Grenzübergänge erfolgen über den Landweg etwa einen Kilometer zu Fuß. Dein Gepäck trägst du dabei selbstständig. Du wirst vor der Grenze von der letzten Reiseleitung und dem Fahrer verabschiedet und hinter der Passkontrolle erwartet dich die nächste Reiseleitung inkl. Fahrer.;
3;Gibt es eine besondere Kleidervorschrift?;Grundsätzlich kannst du dich im öffentlichen Raum mit Kleidung deiner Wahl bewegen – alle drei Länder sind in dieser Hinsicht offen. Für den Besuch religiöser Stätten, wie Kirchen empfiehlt es sich jedoch, etwas bedecktere Kleidung (z. B. lockere, längere Kleidung) mitzunehmen. Für Frauen ist es außerdem sinnvoll, ein leichtes Tuch dabeizuhaben, um bei Bedarf die Schultern oder das Haar bedecken zu können – so bist du bestens vorbereitet.;
Aserbaidschan;;;
Nr.;Frage;Antwort;
1;Wird ein Visum benötigt?;Ja, für deutsche, österreichische und schweizer Staatsbürger und weitere wird  ein Visum benötigt. Dies kann relativ einfach als E-Visum beantragt werden und ist meist innerhalb 3 Werktage bestätigt. Wir empfehlen das Visum etwa 4-6 Wochen vor Abreise online zu beantragen. ;
2;;;
3;;;
4;;;
5;;;
6;;;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen (s. Armenien):;Reisenspezifische Antworten;
1;;;
2;;;
3;;;
Bhutan;;;
Nr.;Frage;Antwort;
1;Visum?;"Das Indien Visum muss eigenständig beantragt werden. Wir empfehlen das ""One-Year-Visum"". Für Bhutan wird das Visum von unserer Agentur beantragt. Hierfür erhalten die Gäste mit Bestätigung Visa Unterlagen, welche ausgefüllt an uns geschickt werden müssen. ";
2;Airline ?;Wir fliegen mit Lufthansa ab/bis Delhi;
3;;;
4;;;
5;;;
6;;;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;;;
2;;;
3;;;
China;;;
Nr.;Frage;Antwort;
1;Fluggesellschaft? ;Lufthansa;
2;Abflughafen?;CNYAN: ab/bis MUC // CNHON ab/bis FRA // CNZHA ab/bis FRA;
3;Mitnahme von Drohnen nach China;man darf schon eine Drohne ohne Registierung online nach China mitnehmen. Aber in großen Städten wie Peking, Xian, Shanghai & Chongqing ist das Fliegen einer Drohne leider nicht erlaubt, aber in kleinen Städten wie Yangshuo & Longsheng ist es möglich.man darf schon eine Drohne ohne Registierung online nach China mitnehmen. Aber in großen Städten wie Peking, Xian, Shanghai & Chongqing ist das Fliegen einer Drohne leider nicht erlaubt, aber in kleinen Städten wie Yangshuo & Longsheng ist es möglich.;
4;Adapter für Steckdosen?;gleiche Steckdosen wie bei uns;
5;Geld wechseln?;Bargeld vor Ort bei RL tauschbar;
6;Aktivitätslevel? ;gewisse Grundfitness sollte vorhanden sein - Gehstrecken teilweise sehr lang;
7;Bestuhlung vom Flugzeug? ;EC: 3-3-3 PX: 2-3-2 BX: i.d.R. 2-2-2;
8;Kommunikation: ;"über WLAN keine Internetdienste wie Soziale Medien / Google etc. VPN ist in China möglich, aber nicht alle. Wir schlagen den Kunden vor, selber auf dem Onlineshop www. amazon.de die China-Daten-SIM-Karte zu bestellen. Solche eSIM Karte unterstützt WhatApp und Google und es funktioniert in China sehr gut.
Zum Kontakt halten ist WeChat in China viel einfacher. Zur Zahlung empfehlen wir die Ali-Pay.  Ali-Pay zu installieren ist einfacher als WeChat-Pay.";
9;relevante Personenbezogene Daten: ;Passkopie wird benötigt --> idealer Weise gut lesbar und in Farbe / Körpergewicht für Floßfahrten / ;
10;Hinweise Kosmetik?;Duschgel und Shampoos in allen Unterkünften vorhanden auch auf Boot;
11;Flüssigkeiten auf Inlandsflug und Zugfahrten?;keine Flüssigkeiten erlaubt / Bei Flug in Aufgabegepäck erlaubt / Bei Bahnfahrten nur bis zu 120ml NICHT BRENNBARE FLÜSSIGKEITEN erlaubt / bsp. Kein Deodorant oder Haarspray mitnehmen;
12;Visum?;bis 30 Tage kein Visum für DACH ;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;Flusskreuzfahrt besonderheiten? (CNYAN);drei unterschiedliche Schiffe mit relativ identischer Ausstattung / kein Pool an Bord;
2;;;
3;;;
Georgien;;;
Nr.;Frage;Antwort;
1;Wird ein Visum benötigt?;Für deutsche, österreichische und schweizer Staatsbürger  Staatsbürger wird kein Visum benötigt. (Da sich die Einreisebedingungen jederzeit ändern können, informiere ich dich bitte vor kurz Reiseantritt auf den Seiten der Behörden erneut.);
2;;;
3;;;
4;;;
5;;;
6;;;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen (s. Armenien):;Reisenspezifische Antworten;
1;;;
2;;;
3;;;
Indien;;;
Nr.;Frage;Antwort;
1;Benötigen wir ein Visum?;"ja, wir empfehlen das ""One-Year"" Visum, welches eigenständig online ab 120 Tagen vorher auf der offieziellen indischen Webseite (englisch) oder über den Visadienst Bonn (deutsch) beantrag werden kann. ";
2;unterschied zwischen INRAJ und INTAJ;beide ähnlich, INTAJ 4 Tage länger und geht noch in die Wüste;
3;Ist eine Eigenanreise möglich?;Nein, eine Eigenanreise ist bei unseren Indien Reisen nicht möglich.;
4;Geldtauschen? ;Wir empfehlen, Geld vor Ort zu tauschen;
5;;;
6;;;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;;;
2;;;
3;;;
Japan;;;
Nr.;Frage;Antwort;
1;Airline ?;Direktflüge mit der Lufthansa;
2;Bestuhlung ? ;EC: 3-3-3 / PX: 2-3-2 / BX: 2-2-2;
3;Eigenanreise?;Möglich / Jedoch sind private Transfers in Japan extrem teuer;
4;Sitzplatzreservierung ? ;ECO: Standardsitzplatz 65€ pro Person und Strecke / Sitzplatz mit mehr Beinfreiheit: 150€ pro Person und Strecke / PX: 95€ pro Person und Strecke / BX: kostenfrei;
5;Höhere Buchungsklassen?;PX und BX können geprüft werden / PX kalkuliert: 1800€ pro Person / BX kalkuliert: 4200€ pro Person / oft können wir die kalkulierten Preise nicht einhalten, da die günstigen Buchungsklassen oft schnell vergriffen sind;
6;Geld wechseln?;Am Flughafen kann man direkt EUR in JPY wechseln. Jedoch ist es ratsamer eine Kreditkarte mit günstigen Währungswechselgebühren zu holen. (Günstige Gebühren sind i.d.R. 2%);
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;JPKYO: Kann man Wanderung auf Pilgerweg aussetzen?;Ja, man kann mit dem Bus ein paar haltestellen weiter fahren und dann in einem Cafe auf die Gruppe warten;
2;;;
3;;;
Jordanien;;;
Nr.;Frage;Antwort;
1;Muss ich mich um ein Visum kümmern?;Nein, wenn du zusammen mit der Gruppe ankommst ist ein Gruppenvisum für dich inklusive (on arrival);
2;Brauche ich für das Visum ein Passfoto oder ähnliches?;Nein, es ist ausreichend, wenn du deinen Reisepass und die Reisunterlagen mitnimmst. ;
3;Findet die Reise statt, bzw. gibt es Sicherheitsbedenken?;Die Sicherheit unserer Gäste hat oberste Priorität. Wir stehen im engen Kontakt mit unseren Partnern vor Ort. Bei weiteren Frage, melde dich gerne telfonisch. ;
4;Mit welcher Airline wird geflogen?;Je nach Flugtagen entweder direkt mit der Lufthansa oder mit der Austrian Airlines mit Umstieg in Wien.;
5;;;
6;;;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;;;
2;;;
3;;;
Kambodscha;;;
Nr.;Frage;Antwort;
1;;;
2;;;
3;;;
4;;;
5;;;
6;;;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;;;
2;;;
3;;;
Kirgisistan;;;
Nr.;Frage;Antwort;
1;;;
2;;;
3;;;
4;;;
5;;;
6;;;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;;;
2;;;
3;;;
Laos ;;;
Nr.;Frage;Antwort;
1;Visum?;Für Laos wird ein Visum benötigt, welches eigenständig beantragt werden muss;
2;;;
3;;;
4;;;
5;;;
6;;;
7;neu und wenige Termine, daher wenige Fragen;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;;;
2;;;
3;;;
Malaysia (MYBOR);;;
Nr.;Frage;Antwort;
1;Was kostet die Business Class?;Wir haben die Business Class mit einem Flugaufpreis von 2800 Euro pro Person vorkalkuliert. Der tatsächliche Flugaufpreis muss tages;
2;Was kostet die Premium Economy?;Wir haben die Premium Economy mit einem Flugaufpreis von 1400 Euro pro Person vorkalkuliert. Der tatsächliche Flugaufpreis muss ta;
3;Ist eine Sitzplatzreservierung möglich?;In der Economy ist keine vorzeitige Sitzplatzresrevierung möglich. In Premium Economy und Business Class ist es möglich.;
4;Was kostet eine Sitzplatzreservierung?;Eine Sitzplatzreservierung in der Premium Economy und Businss Class ist kostenfrei vorab möglich. In Economy ist keine vorzeitige Sitzp;
5;Wird ein Visum oder elektronische Einreisebestimmung benötigt?;Vorab muss die Malaysia Arrival Card ausgefüllt werden. Weitere Informationen findest du in den Einreisebestimmungen. ;
6;Mit welcher Airline wird geflogen?;Wir fliegen auf den Langstrecken mit Singapur Airlines über Singapur. Die Regionalstrecken von Singapur über Kuala Lumpur nach Kuching auf der Anreise, sowie von Kuala Lumpur nach Singapur auf der Rückreise werden mit Malaysian Airlines durchgeführt. ;
7;Sind andere Abflughäfen möglich?;Bedingt. Solltest du dich für das Nachträumen Langawi entscheiden, ist nur der Abflughafen Frankfurt möglich, da sich die Airline welche wir auf dem Flug von Langkawi nach Singapur nutzen, nicht mit innerdeutschen Zubringerflügen kombinieren lässt. ;
8;Gibt es die Möglichkeit ein Stop over zu machen/ die Reise zu unterbrechen?;Ein Stopover in Singapur ist möglich. Sieh dir dafür unsere Vorfreuen und/oder Nachträumen Singapur und unserer Nachträumen Langkawi an. ;
9;Wann ist die beste Reisezeit für Malaysia?;In Malaysia herscht tropisches Klima. Es ist immer wrm und schwül aufgrund der hohen Luftfeuchtigekit. Auch kann es täglich zu kruzen aber kräftigen Regenschauern kommen. Dies gilt für den gesamten Zeitraum in wlcher wir die Reise anbieten und durchführen. ;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;Wie viel Freigepäck ist dabei?;Maximals Freigepäck auf der Reise sind 20kg pro Person aufgrund der Gewichtsbestimmungen der Flügen innerhalb der Rundirese;
2;;;
3;;;
Mongolei;;;
Nr.;Frage;Antwort;
1;Zurbinger Flüge möglich?;Nein;
2;;;
3;;;
4;;;
5;;;
6;;;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;;;
2;;;
3;;;
Nepal;;;
Nr.;Frage;Antwort;
1;;;
2;;;
3;;;
4;;;
5;;;
6;;;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;;;
2;;;
3;;;
Neuseeland (NZQUE);;;
Nr.;Frage;Antwort;
1;Was kostet die Business Class?;Wir haben die Business Class mit einem Flugaufpreis von 6000 Euro pro Person vorkalkuliert. Der tatsächliche Flugaufpreis muss tagesaktuell durch unsere interne Flugabteilung gepfrüft werden. ;
2;Was kostet die Premium Economy?;Wir haben die Premium Economy mit einem Flugaufpreis von 2000 Euro pro Person vorkalkuliert. Der tatsächliche Flugaufpreis muss tagesaktuell durch unsere interne Flugabteilung gepfrüft werden. ;
3;Ist eine Sitzplatzreservierung möglich?;In der Economy ist keine vorzeitige Sitzplatzresrevierung möglich. In Premium Economy und Business Class ist es möglich.;
4;Was kostet eine Sitzplatzreservierung?;Eine Sitzplatzreservierung in der Premium Economy und Businss Class ist kostenfrei vorab möglich. In Economy ist keine vorzeitige Sitzplatzreservierung möglich. ;
