Ägypten;;;
Nr.;Frage;Antwort;
1;Kann ich ab/bis Hamburg fliegen?;Nein, auf dieser Reise sind wir mit Egypt Air unterwegs, die nicht ab/bis Hamburg fliegen. ;
2;E-Visum oder Visa on arrival?;Wir empfehlen Visa on arrival. In Kairo wird dir ein Mitarbeiter unserer Agentur beim Visum behilflich sein.;
3;Kann ich von Hurghada ohne Umstieg in Kairo zurück nach Deutschland fliegen?;Nein, alle Flüge werden in einem Ticket ausgestellt. Eine Direktverbindung von Hurghada nach Deutschland ist nicht möglich.;
4;Wird das neue Ägyptische Museum (GEM) auf der Reise besucht?; Sobald die berühmte Tutanchamun Ausstellung umgezogen ist und das neue Museum offiziell eröffnet ist, wird dieses auch fester Bestandteil des Programms sein.;
5;Kann eine Verlängerung auch in einem anderen Hotel gemacht werden;Ja, wir können auch andere Hotels für dich anfragen.;
6;Kann ich eine Vorübernachtung im ersten Hotel dazubuchen?;Ja, wir können eine Vorübernachtung für dich anfragen.;
7;Gibt es starke Einschränkungen durch Ramadan?;Nein, du musst keine starken Einschränkungen befürchten. Respektiere jedoch bitte die Religion und Kultur und verzichte darauf Essen und Trinken tagsüber auf offener Straße zu dir zu nehmen.;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;;;
2;;;
3;;;
Botswana;;;
Nr.;Frage;Antwort;
1;Wie kann ich in Botswana bezahlen?;Die einheimische Währung ist der Pula. Wir empfehlen dir, Geld mit der Kreditkarte am Geldautomaten abzuheben oder in einer Wechselstube Geld zu tauschen. US-Dollar werden außerhalb der Unterkünfte nicht gerne gesehen. Kreditkartenzahlungen ist in fast allen Unterkünften möglich;
2;Kann ich mit US-Dollar bezahlen?;In den einzelnen Unterkünften ist es möglich mit US-Dollar zu bezahlen. Außerhalb der Unterkünfte wird der US-Dollar nicht gerne gesehen. ;
3;Brauche ich ein Visum für Botswana?;Deutsche, österreichische und schweizer Staatsbürger benötigen kein Visum.;
4;Ist eine Dreierbelegung für Reisen nach Namibia möglich?;Auf unseren Reisen nach Botswana bieten wir Doppel- und Einzelzimmer an. ;
5;Welche Busse / Fahrzeuge werden vor Ort eingesetzt?;In der Regel werden Mercedes Sprinter als 12-16 Sitzer eingesetzt. Ein genaues Bild von den Bussen kannst du dir hier machen: https://packtransport.com/cars/mercedes-sprinter-12-seater/;
6;Gibt es Toiletten auf den Fahrtwegen/Strecken?;Toiletten findet man während der Fahrten eher weniger. Hier muss im Zweifel dann die Natur herhalten. Ansonsten kann man in Restaurants, Cafes oder Tankstellen, wo eventuell sowieso eine Pause eingelegt wird, die Toiletten aufsuchen;
7;Darf ich Hartschalenkoffer mitnehmen? Müssen es Reisetaschen sein?;Für die Reise müssen es keine Reisetaschen sein. Es dürfen auch z.B. Stoffkoffer mit Rollen sein. Wir bitten aber wenn möglich, auf Hartschalenkoffer, aus Platzgründen im Bus, zu verzichten. Für die Reise muss allerdings kein neues Gepäck gekauft werden. ;
8;Kann ich auch Mückenspray vor Ort kaufen?;Frage deine Reiseleitung nach einem Stop in einem Supermarkt. Dort kann dann Mückenmittel, Sonnenschutz oder Adapter gekauft werden.  Je nachdem, was du brauchst. ;
9;Benötige ich Malaria Prophylaxe? Fragen zu Impfungen;"Mit der Reisebestätigung erhältst du von uns einen Coupon für ein kostenloses Informationsgespräch zur reisemedizinischen
 Vorsorge in einer der BCRT-Reisepraxen. Standorte: Berlin (Standorte Mitte und Steglitz), Dresden, Düsseldorf, Frankfurt a.M., Hamburg, Köln, München, Stuttgart und Wiesbaden. Sprechzeiten unter www.bcrt.de. Eine telefonische Beratung ist nicht möglich. Außerhalb dieser Standorte lasse dich dazu bitte ärztlich beraten.";
10;Ist eine Stromversorgung in den Lodges durchgängig garantiert?;"Die meisten Lodges / Hotels haben eine durchgängie Stromversorgung.
Einige Unterkünfte (z.B. Gomoti River Lodge) haben Stromgeneratoren, die in der Nacht ausgeschaltet werden.";
11;Gibt es WLAN vor Ort?;Viele Unterkünfte bieten kostenfreies WLAN im Hauptbereich (Rezeption, Restaurant etc.) an. In der Gomoti River Lodge gibt es kein WLAN.;
12;Gibt es einen Fön in den Unterkünften?;Nicht alle Unterkünfte haben einen Fön. Da der Strom im südliches Afrika begrenzt ist, bitten wir dich auch keinen Fön von zu Hause mitzubringen.;
13;Bieten die Unterkünfte einen Wäscheservice?;In den meisten Unterkünften gibt es einen Wäscheservice, jedoch musst du schauen ob die Zeit vor Ort ausreicht um diesen zu nutzen.;
14;Kann ich das Leitungswasser trinken oder zum Zähnputzen nehmen?;Das Leitungswasser ist nicht zum Trinken geeignet. Die Lodges stellen Trinkwasser zum Zähneputzen in Glaskaraffen oder Glasflaschen bereit.;
15;Brauche ich einen Adapter für die Steckdose?;Ja du benötigst einen Adapter. Ein Weltstecker funktioniert nicht. Du brauchst einen speziellen Stecker, der wird manchmal bereitgestellt oder kann vor Ort gekauft werden.;
;;;
;;;
;;;
;;;
;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;Wie kann ich Sitzplätze für die Flüge mit der Discover Airline reservieren?;Gerne können nach der bestätigten Buchung jederzeit Sitzplätze kostenpflichtig über uns reserviert werden. Bei der Airline direkt ist dies oft erst mit dem Online Check-in ab 23h vor Abflug möglich. ;
2;Wie kann ich Sitzplätze für die Flüge mit der Ethiopian Airlines  reservieren?;Nach der bestätigten Buchung können wir einen kostenpflichtigen Sitzplatzwunsch für dich vermerken. Die Bestätigung erhälst du mit deinen Schlussunterlagen. Sitzplätze mit Beinfreiheit können nur direkt beim Check-In angefragt werden.;
3;Mit welchen Nebenkosten muss ich in Botswana rechnen?;"Für die Reise kannst du für nicht im Preis inbegriffene Mahlzeiten und Getränke folgende Nebenkosten einplanen: 
umgerechnet ca. 280 € pro Person (in BWP).";
4;Ich habe Flugangst. Muss ich den Flug über das Okavango Delta machen?;Falls du nicht an dem Flug über das Okavango Delta teilnehmen möchtest, wirst du mit dem Fahrzeug auf direktem Weg zurück zur Lodge gebracht.;
5;Muss ich an den Bootsafaris teilnehmen?;Nein. Du kannst auch an Land auf die Gruppe warten.;
6;
;;;
Kap Verde;;;
Nr.;Frage;Antwort;
1;Brauche ich ein Visum?;Bitte registriere dich bis spätestens 10 Tage vor Abreise auf folgedender Seite: https://www.ease.gov.cv/;
2;Mit welcher Flugverbindung wird geflogen?;"In der Regel mit folgender Verbindung: 
FRA - LIS 13:25 - 15:35
LIS - RAI 20:45 - 00:05
SID - LIS 01:05 - 06:05
LIS - FRA 08:20 - 12:30";
3;;;
4;;;
5;;;
6;;;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;Kann ich auf Sal verlängern/Nachträumen buchen?;Ja, kein Problem. Gib bitte den gewünschten Zeitraum an und wir machen dir ein Angebot.;
2;Wird die Reise durchgängig von einer Reiseleitung begleitet?;Ja, es gibt keinen Reiseleiterwechsel. Lediglich die letzte Station auf Sal wird ohne Reiseleitung durchgeführt.;
3;;;
;;;
Kenia;;;
Nr.;Frage;Antwort;
1;Benötige ich Impfungen oder Malaria-Medikamente?;"Mit der Reisebestätigung erhältst du von uns einen Coupon für ein kostenloses Informationsgespräch zur reisemedizinischen
 Vorsorge in einer der BCRT-Reisepraxen. Standorte: Berlin (Standorte Mitte und Steglitz), Dresden, Düsseldorf, Frankfurt a.M., Hamburg, Köln, München, Stuttgart und Wiesbaden. Sprechzeiten unter www.bcrt.de. Eine telefonische Beratung ist nicht möglich.
Außerhalb dieser Standorte lasse dich dazu bitte ärztlich beraten. Zusätzlich findest du die Einreisebestimmungen und vorgeschriebenen Impfungen in deinem Mein Chamaeleon Login Bereich.";
2;Benötige ich ein Visum? (KEAMB);Ja, das ETA ist vor Reisebeginn online oder visum.de zu beantragen.;
3;Benötige ich ein Visum? (TZMAS);Ja, für Kenia das ETA ist vor Reisebeginn online oder visum.de zu beantragen, die Beantragung des E-Visas für Tansania erfolgt am besten über Visum.de, da es bei der Beantragung online oft zu Schwierigkeiten kommt.;
4;Kann ich Geld vor Ort tauschen oder mit der Kreditkarte abheben?;Am günstigsten ist es, nach Rücksprache mit dem Guide am ersten oder zweiten Tag bei einer Bank zu stoppen und dort mit der Kreditkarte Geld in der Landeswährung (kenianische Schilling) abzuheben. Auch US Dollar werden akzeptiert, allerdings sind die Preise in Dollar etwas teurer.;
5;;;
6;;;
7;;;
8;;;
9;;;
10;;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten;
1;Warum ist die Reise (KEAMB, aber auch TZMAS) im Sommer so viel teurer?;Dies liegt an den saisonal unterschiedlich hohen Gebühren der Nationalparks. Da fasat täglich Eintritt für einen der Parks gezahlt werden muss und die Preise zur Hochsaison teils doppelt so teuer sind, ist der Reisepreis hier entsprechend höher.;
2;Benötige ich eine Gelbfieberimpfung? (TZMAS!);Ja, für diese Reise ist die Impfung erforderlich;
3;;;
Madagaskar;;;
Nr.;Frage;Antwort;
1;Wie beantrage ich das Visum, vorab bei der Botschaft oder bei Einreise?;Nach jetzigem Stand ist es bei der Einreise (on arrival) deutlich simpler und daher empfehlenswert.;
2;Benötige ich eine Gelbfieberimpfung?;Die Impfung kann laut dem Auswärtigen Amt jederzeit abgefragt werden, unabhängig wie lange der Transit in Addis Abeba dauert. Nach unseren Erfahrungen wird dies allerdings nicht kontrolliert.;
