Argentinien/Chile;;
Nr.;Frage;Antwort
1;Wie lange fliegt man nach Argentinien?;Bei der Direktverbindung mit der Lufthansa beträgt die Flugdauer 13 Stunden und 45 Minuten.
2;Wann ist die beste Reisezeit?;Die Hauptreisezeit für Patagonien ist von November bis Februar.
3;Welche Landeswährung hat Argentinien bzw. Chile?;Argentinien hat den argentisnischen Peso und Chile den chilenischen Peso. 
4;Muss vor Abreise Geld getauscht werden?;Vor Abreise muss keine Geld in die jeweilige Landeswährung getauscht werden. Es reicht, wenn Euro und USD mitgenommen werden.
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;Kann bei der Aerolinas Argentinas schon vorher Gepäck dazugebucht werden, da die Freigepäckmenge ja nur 15KG beeinhaltet.;Tatsächlich können wir vorher keine Gepäck dazubuchen. Dies kann beim Check-In am Schlater problemlos gemacht werden. Wichtig ist, dass die 23KG nicht überschritten werden dürfen.
2;Wieviele Reiseleiter gibt es auf der Reise?;Es gibt nach jedem Flug und Grenzübertritt eine neue Reiseleitung. Insgesamt 6 Reiseleiter.
3;Mit welcher Airline wird bei der Reise Patagonia geflogen.;Wir fliegen bei dieser Reise mit der LATAM und der Aerolinas Argentinas.
Belize;;
Nr.;Frage;Antwort
1;;
2;;
3;;
4;;
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;;
2;;
3;;
Bolivien;;
Nr.;Frage;Antwort
1;;
2;;
3;;
4;;
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;;
2;;
3;;
Brasilien;;
Nr.;Frage;Antwort
1;Wann ist die Trockenzeit im Amazonas?;Die Trockenzeit im Amazonas sind die Sommermonate Juli bis September
2;Welche Reisestecker muss man für Brasilien mitnehmen?;Für Brasilien benötig tman den Reisestecker Typ N
3;Muss man in Deutschland schon Euro in die Landeswährung tauschen?;Nein, es reicht aus Euro mitzunhemen. Man sollte allerdings genügend Bargeld mitnehmen, da im Amazonas Kreditkartenzahlung nicht immer verfügbar ist.
4;;
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;Wann ist die beste Zeit um Jaguare zu beobachten?;Die beste Zeit um Jaguare im Pantanal zu beobachten ist Juni-September.
2;Bieten Sie diese Reise auch im Februar an?;Nein, da unser Hauptaugenmerk auf Pantanl und Amazonas liegt und im Februar noch Regenzeit ist, bieten wir diese Reise erst ab April an.
3;Mit welcher Airline wird bei Pantanal Reise geflogen?;Wir fliegen sowohl auf der Langstrecke als auch in Brasilien mit der LATAM.
Chile/Bolivien/Peru;;
Nr.;Frage;Antwort
1;Mit welcher Airline wird bei der Reise Altiplano geflogen?;Je nach Reisetermin und gewünschter Beförderungsklasse (Economy, Business etc) wird mit Iberia, KLM und/oder Air France geflogen. Wenn deine Flugverbindung vom Gruppenflug abweicht, können Extrakosten für separate Transfers entstehen. Erkundige dich gern bei unserer Erlebnisberatung, welche Möglichkeiten zu deinem Wunschtermin bestehen.
2;Welche Impfungen brauche ich für die Reise Altiplano?;Es sind keine Impfungen vorgeschrieben. Lass dich am besten in deiner Hausarztpraxis oder beim BCRT beraten, ob es empfohlene Impfungen gibt, die bei dir z. B. aufgefrischt werden müssen. Wenn du auf Galápagos verlängerst und unter 60 Jahre alt bist, ist eine Gelbfieberimpfung verpflichtend (Stand 12.05.2025).
3;;
4;;
5;;
6;;
7;;
8;;
9;;
10;;
;Reisenspezifische Fragen:;Reisenspezifische Antworten
1;Wie viel Gepäck ist auf den Inlandsflügen inbegriffen?;Auf den Inlandsflügen in Chile und Peru fliegst du in der Regel mit der LATAM, dort sind 23 kg inkludiert. Der Inlandsflug von Uyuni nach La Paz wird von Boliviana durchgeführt, dort beträgt das Freigepäck 20 kg, kann jedoch am Flughafen problemlos gegen eine kleine Gebühr auf 23 kg aufgestockt werden. Deine Reiseleitung ist hierbei gern behilflich, wenn nötig.
2;;
3;;
Costa Rica;;
Nr.;Frage;Antwort
